job_title,company,location,job_summary,post_date,extract_date,job_url
Data Analyst,AMD INDUSTRIES lTD.,"Delhi, Delhi","Confidence in data validity and presentation a must.
Must convey to colleagues the importance of data integrity and how all Vanderlande employees can play an…",17 days ago,01/04/2021,https://www.indeed.com/company/AMD-INDUSTRIES-lTD./jobs/Data-Analyst-60a246d985303e5d?fccid=41fabd19cb1b0b5e&vjs=3
Data Analytics Internship,Innovaccer Analytics Private Limited,"Noida, Uttar Pradesh","Explore the healthcare data 2.
Innovaccer is a leading healthcare data platform company focused on delivering more efficient and effective healthcare through…",13 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=e1903ec4041a2d4a&fccid=f6e1ee07ee227498&vjs=3
Data Analyst,Growth Hub Consultants,"New Delhi, Delhi","Interpret data using various data analysis tools.
You will have to analyze data from various data sources and compile the findings in comprehensive reports.",23 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=d92beea14a5e9d98&fccid=49b7b2ce845ef5d7&vjs=3
CI Analyst - Risk,Standard Chartered,"New Delhi, Delhi","Primary Location: ASEAN & South Asia-India-New Delhi.
Posting Date: 18/Mar/2021, 1:22:04 AM.
We are a leading international bank focused on helping people and…",14 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=36a995be0a1b48ad&fccid=5249cd8e17163cb5&vjs=3
Product Analyst,Baazi Games,"Delhi, Delhi","Explore data to find actionable insights and make product recommendations.
Own the design, development, and maintenance of ongoing reports, dashboards, etc.",14 days ago,01/04/2021,https://www.indeed.com/company/Baazi-Games/jobs/Product-Analyst-10a13b13e7be12ee?fccid=74c5da1a4693a0e8&vjs=3
Market Research Analyst,Crypto Mize,"Delhi, Delhi","Gather huge amount of data and convert into meaningful data.
Experienced in MS office ,data base and statistical data.
Make all sensitive data confidential.",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=9b1cd88f2e6c9f9c&fccid=bdad58a8df3ba8a4&vjs=3
Monitoring & Reporting Analyst (Open to Indian Nationals Only),United Nations Development Programme (UNDP),"New Delhi, Delhi","Ability to synthesize program performance data and produce analytical reports.
Coordinate with Programme Team to ensure that data collection and analysis from…",13 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=1c3a4a0fc4dd6429&fccid=a9a8bf2e786e3726&vjs=3
Research Analyst I/II,IFPRI (International Food Policy Research Institut...,"New Delhi, Delhi","Prior experience with survey data such as DHS, NFHS or NSSO and/or administrative data from programs.
Analyzing large survey data sets on nutrition and health.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=4879ff329a95c8ae&fccid=0e81013e9b300269&vjs=3
Senior SQL Data Analyst,Equtick India Pvt. Ltd.,"Noida, Uttar Pradesh","Querying historical high-frequency market data to identify price patterns.
Hands-on experience with large scale data warehousing and analytics projects.",30+ days ago,01/04/2021,https://www.indeed.com/company/Equtick-India-Pvt.-Ltd./jobs/Senior-SQL-Data-Analyst-8c11b9a408b4ba9e?fccid=5c0ccd8a51fb1bdf&vjs=3
Data Analyst,SSPL,"New Delhi, Delhi","For planning and coordinating activities, organizations remain in invariant communication with one another and the data transfer has to be performed efficiently…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=22b6f4e487a88d5b&fccid=3ce33f46b9648e84&vjs=3
Vacancy for Power Analyst - BYPL,Regent Climate Connect Knowledge Solutions Private...,"Delhi, Delhi","Identifying the required data to analyse the problem.
Thus, our mission is to construct the data architecture and design algorithms that give an intelligently…",30+ days ago,01/04/2021,https://www.indeed.com/company/Regent-Climate-Connect-Knowledge-Solutions-Private-Limited/jobs/Power-Analyst-91a957723b625c9b?fccid=a4b55687115f4202&vjs=3
Business Analyst,KNOWLVERS CONSULTING PVT LTD,"Ghaziabad, Uttar Pradesh","Business analyst will be required to work on Data Sciences projects, and work may involve all kinds of descriptive as well as predictive analytics projects or…",13 days ago,01/04/2021,https://www.indeed.com/company/KNOWLVERS-CONSULTING-PVT-LTD/jobs/Business-Analyst-79b55e1f8be0b551?fccid=478f0a08e1f3a654&vjs=3
Data Analyst AssociateZobello,Zobello,"New Delhi, Delhi","Graduate with 1-2 years of experience in data analysis, data mining/modeling.
Responsible for analysing data on a constant basis.
What we are looking out for:",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=8bd0fa87a01c3ef5&fccid=c8dd38bc0a0d6e8c&vjs=3
Business Analyst - data engineering / pipeline - Gurgaon / Bangalore,Indihire HR Consultants Private Limited,"Delhi, Delhi","Investigate data quality issues and find solutions/fixes.
Build data pipelines (including XRF) to enable reporting and analysis.",11 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=77b6fdd9d26640e5&fccid=7274ff2ae8461eca&vjs=3
Logistics Analyst,Gap Inc.,"Delhi, Delhi","This team also supports data cleaning to ensure better visibility and increased accuracy in the systems.
Review, analyze data received for various errors to…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=e5502eb133d43879&fccid=76644a33987f2488&vjs=3
Data Analyst,Ameriprise Financial,"Noida, Uttar Pradesh","Strong Python/SAS programming and data manipulation skills.
We are looking for a driven individual with analytical mindset who is ready for an immersive, real…",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=66fecb207b7f0e22&fccid=990782d378c3e8b6&vjs=3
Data qa analysts,"Neetu chodlani shah- proprietor,","Noida, Uttar Pradesh",This is a recruitment drive for a well established organisation not willing to disclose its name so as to find candidates with genuine interest and persistence…,3 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b29953b889f06007&fccid=e0fbbcd96407e607&vjs=3
Data Analyst,Innovacer,"Noida, Uttar Pradesh","We are looking for a Data Analyst to help our customers explore their healthcare data, understand how to improve the health of the population and bring down the…",14 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=06831cac6aa25720&fccid=361e88ddd59b0e9b&vjs=3
Research Analyst-Consumer,The Boston Consulting Group,"New Delhi, Delhi","We design algorithms and build complex models out of large amounts of data.
You will be coaching Research Associates and outsourcing partners, as well as…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=9088aaa7efce6570&fccid=b95f9eb47968fa13&vjs=3
Analyst - SaT - National - S&O - Strategy - New Delhi,Ernst & Young,"New Delhi, Delhi","Aptitude for numbers, data crunching and inference development.
Maintain accurate and comprehensive pipeline information across TAS solutions and generate need…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=ad18b9473471e8ba&fccid=1544766d4c2915b0&vjs=3
Monitoring & Reporting Analyst (Open to Indian Nationals Only),United Nations Development Programme,"Delhi, Delhi","Ability to synthe program performance data and produce analytical reports.
Coordinate with Programme Team to ensure that data collection and analysis from field…",6 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=ef2b56ef573997ed&fccid=a9a8bf2e786e3726&vjs=3
Google Ads Analyst/Digital Advertising Analyst,Cog Digital Pvt Ltd.,"Dwarka, Delhi, Delhi","An analyst should indicate data trends that are dictating.
One who can analyze data through Google Analytics, boiling down their experience to data.",30+ days ago,01/04/2021,https://www.indeed.com/company/Cog-Digital/jobs/Google-Ads-Analyst-Digital-Advertising-Analyst-02c7a4943a76424e?fccid=637a2f0f8c7579b4&vjs=3
Sr. SEO Analyst,Online front,"Delhi, Delhi","Execute tests, collect and analyze data and results, identify trends and insights in order to achieve maximum ROI in paid search campaigns.",5 days ago,01/04/2021,https://www.indeed.com/company/Online-front/jobs/Senior-SEO-Analyst-e2587ca9898fb3b2?fccid=7557cf3fcb63ecaa&vjs=3
Research Analyst,Mediconation Private Limited,"Noida, Uttar Pradesh","Conduct research and prepare reports on Industry related data.
Gather all the data and information about the NEET exam and counseling procedure.",19 days ago,01/04/2021,https://www.indeed.com/company/Mediconation-Private-Limited/jobs/Research-Analyst-7cf334b41d430476?fccid=c30ce1d5bae12baf&vjs=3
Primary Research Analyst,Mindforce Research,"Delhi, Delhi","Experience: 1 to 3 years.
The Research Analyst are experts enhancing our research efforts for complex qualitative projects.
Hands on experience on MS Excel.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=d059a486c4712b3c&fccid=3bdcf8dd4611ed06&vjs=3
Partnerships Analyst,Dimagi,"New Delhi, Delhi","Analyzing data: Preparing, extracting and analyzing opportunity and financial data to generate quantitative insights for our business strategy.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=7959f10f9942de39&fccid=b5ba157e4c3d4e12&vjs=3
Data Analyst- Fresher Candidates (B.tech/BCA/MCA),Masthead Technologies pvt ltd,"Noida, Uttar Pradesh","Person should have basic knowledge in excel.
Ability to collaborate effectively and work as part of a team.
Job Types: Full-time, Fresher.",16 days ago,01/04/2021,https://www.indeed.com/company/Masthead-Technologies/jobs/Data-Analyst-d62c6c737e1345ce?fccid=0d83861f5c05637a&vjs=3
Lead Analyst/process Lead - Data Management,TechnipFMC,"New Delhi, Delhi","Tools pertaining to employee data Management and updating records from Hire to Termination.
TechnipFMC is a global oil and gas leader, specialized in subsea,…",16 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=9c856c4eae2e219f&fccid=1f21273599e9ffba&vjs=3
Music Data Analyst,Moodagent India Pvt. Ltd.,"Faridabad, Haryana","Ensure completeness and 100% data correctness.
Work on the verification of the data ingested on our system.
Want to change the face, and feel of music streaming…",29 days ago,01/04/2021,https://www.indeed.com/company/Moodagent-India-Pvt.-Ltd./jobs/Music-Data-Analyst-63cec70ada8e9ca5?fccid=53d0045fd08b292f&vjs=3
Research Analyst-Consumer,The Boston Consulting Group,"New Delhi, Delhi","We design algorithms and build complex models out of large amounts of data.
You will be coaching Research Associates and outsourcing partners, as well as…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=9088aaa7efce6570&fccid=b95f9eb47968fa13&vjs=3
Analysis & Reporting Analyst,JATO,"New Delhi, Delhi","Expert in manipulating data to extract desired information.
As an Analysis and Reporting Analyst you will work closely with our clients in order to understand…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=2e170132a10f55fc&fccid=83957617655a47f3&vjs=3
Data Analyst AssociateZobello,Zobello,"New Delhi, Delhi","Graduate with 1-2 years of experience in data analysis, data mining/modeling.
Responsible for analysing data on a constant basis.
What we are looking out for:",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=8bd0fa87a01c3ef5&fccid=c8dd38bc0a0d6e8c&vjs=3
Sr. SEO Analyst,Online front,"Delhi, Delhi","Execute tests, collect and analyze data and results, identify trends and insights in order to achieve maximum ROI in paid search campaigns.",5 days ago,01/04/2021,https://www.indeed.com/company/Online-front/jobs/Senior-SEO-Analyst-e2587ca9898fb3b2?fccid=7557cf3fcb63ecaa&vjs=3
Senior Analyst Fraud Analytics,Barclays,"Delhi, Delhi","O Ability to absorb large quantities of data at speed, making the right decisions quickly with limited data availability.
What will you be doing?",17 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=72d2d7747586a4a9&fccid=057abf3fd357e717&vjs=3
Business Analyst,Sentieo,"New Delhi, Delhi","You will be expected to understand the problem, form a hypothesis and validate those using data.
Sentieo is a disruptive SaaS platform on a mission to…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=f675d11038a1f689&fccid=edf61cc3a19552f1&vjs=3
Analyst - SaT - National - S&O - Strategy - New Delhi,Ernst & Young,"New Delhi, Delhi","Aptitude for numbers, data crunching and inference development.
Maintain accurate and comprehensive pipeline information across TAS solutions and generate need…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=ad18b9473471e8ba&fccid=1544766d4c2915b0&vjs=3
Business Analyst - SAS/SQL Jobs in Gurgaon / Gurugram,Genpact,"Delhi, Delhi","Understand fundamentals of data preparation/data modelling necessary for the visualization purpose.
Handle complexity around visualization or data.",1 day ago,01/04/2021,https://www.indeed.com/rc/clk?jk=38f4b4e3ef00440e&fccid=afe30394bfba1470&vjs=3
AP HR Analyst,The Boston Consulting Group,"New Delhi, Delhi","Offices on HR data related activities and supports data automation initiatives.
Support AP HR data and reporting requests by providing benchmarks, historical…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=c826893bc4383863&fccid=b95f9eb47968fa13&vjs=3
Data Analyst | Business Analytics | Data Science - Fresher Graduate - 7065337388,Structured Learning Assistance Consultants India P...,"Delhi, Delhi","1 >MIS/Data Analyst Effectively create automation and make timelines & accuracy of the reports.
2 >Method/ techniques used for Call Forecasting.",19 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=c94653f165b694d3&fccid=348477e5863ab08a&vjs=3
DATA QUALITY ANALYST,Advance Jobs Private Limited,"Delhi, Delhi","Audit data & provide timely feedback to the teams in case of any deviation.
Analyze Data as per specifications.
Providing training to new team members.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=ddd7ed384f8c9b07&fccid=09eff3c5322fba8f&vjs=3
"M&E Analyst, Project JEET",Clinton Health Access Initiative,"New Delhi, Delhi","Manage the project data operations, ensure timely reporting and data quality.
Undertake periodic data analysis to inform programmatic decision making.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=280c96ce86ac6f73&fccid=86ea1b00191f0b54&vjs=3
Google Ads Analyst / Digital Advertising Analyst,Cog Digital,"New Delhi, Delhi","An analyst should indicate data trends that are dictating.
One who can analyze data through Google Analytics, boiling down their experience to data.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=7eeacd75661595ee&fccid=637a2f0f8c7579b4&vjs=3
PRODUCT MANAGEMENT ANALYST,Knowledge Excel Services.,"Delhi, Delhi","Profile will include programming, data, client & panel management.
Good knowledge of HTMl, Javascript, jQuery, CSS.
Good knowledge of MS Excel and word.",1 day ago,01/04/2021,https://www.indeed.com/rc/clk?jk=aceb96fbb6eb9bb3&fccid=75f0487bbfb7b2cf&vjs=3
Junior Analyst,Anaad Consultants LLP,"Defence Colony, Delhi, Delhi","Create powerful infographics and visualize data.
Assume responsibilities for project planning, data collection, analysis, and documentation.",17 days ago,01/04/2021,https://www.indeed.com/company/Anaad-Consultants-LLP/jobs/Junior-Analyst-5c43f8e4cb4fe6ee?fccid=fe640baa69cecb31&vjs=3
Market Research Analyst,Knowledge Sourcing Intelligence LLP,"Noida, Uttar Pradesh",The analyst will also be responsible for the qualitative and quantitative research techniques and data interpretation and produce substantiated recommendations.,29 days ago,01/04/2021,https://www.indeed.com/company/Knowledge-Sourcing-Intelligence-LLP/jobs/Market-Research-Analyst-4dcccc8140d78152?fccid=e3e6df4c223a1108&vjs=3
Senior Analyst - Energy Efficiency,ICF,"New Delhi, Delhi","At ICF, business analysts and policy specialists work together with digital strategists, data scientists and creatives.
Willing to travel as per project needs.",16 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=11c92cc1592a9fab&fccid=e290923a98afee94&vjs=3
Data Analyst- Fresher Candidates (B.tech/BCA/MCA),Masthead Technologies pvt ltd,"Noida, Uttar Pradesh","Person should have basic knowledge in excel.
Ability to collaborate effectively and work as part of a team.
Job Types: Full-time, Fresher.",16 days ago,01/04/2021,https://www.indeed.com/company/Masthead-Technologies/jobs/Data-Analyst-d62c6c737e1345ce?fccid=0d83861f5c05637a&vjs=3
Music Data Analyst,Moodagent India Pvt. Ltd.,"Faridabad, Haryana","Ensure completeness and 100% data correctness.
Work on the verification of the data ingested on our system.
Want to change the face, and feel of music streaming…",29 days ago,01/04/2021,https://www.indeed.com/company/Moodagent-India-Pvt.-Ltd./jobs/Music-Data-Analyst-63cec70ada8e9ca5?fccid=53d0045fd08b292f&vjs=3
Lead Analyst-Chemicals and Materials,BIS Research,"Noida, Uttar Pradesh","Conduct quantitative (statistical analysis, financial data analysis, etc.).
Organize, analyze, synthesize and/or summarize data and information using…",Just posted,01/04/2021,https://www.indeed.com/rc/clk?jk=eb0b8630866d128a&fccid=fd85f30d9450eafe&vjs=3
Data and Analytics,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Looking for someone who can manage data and not work with just existing data sets.
Marketing Data Analyst, Database Analytics.
Must have a technical capability.",27 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=a828f1ec42203fe9&fccid=3799fa8ac2d1edf2&vjs=3
Partnerships Research Analyst - Internship,United Nations Development Programme,"Delhi, Delhi","Ability to analyse large sets of data and reports and synthe complex issues.
As part of the Strategic Partnerships Unit and under the supervision of…",25 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=2b3c5068cf305cca&fccid=a9a8bf2e786e3726&vjs=3
AP HR Analyst,The Boston Consulting Group,"New Delhi, Delhi","Offices on HR data related activities and supports data automation initiatives.
Support AP HR data and reporting requests by providing benchmarks, historical…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=c826893bc4383863&fccid=b95f9eb47968fa13&vjs=3
Business Analyst,Nablasol,"New Delhi, Delhi","Build reports and visualizations to help analyze data for business processes.
Create documentation and build model diagrams for processes and data flow.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=5705c36d7f512685&fccid=8f0f35e8dba30d08&vjs=3
Research Analyst/Associate,ICE360°,"Naraina, Delhi","Assist with data entry and ensure data integrity.
Devising methods and procedures for obtaining data;
Extract and link data from multiple databases for analysis…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=2a974e7e9615eaee&fccid=17999dd36446d5a7&vjs=3
Lead Analyst/process Lead - Data Management,TechnipFMC,"New Delhi, Delhi","Tools pertaining to employee data Management and updating records from Hire to Termination.
TechnipFMC is a global oil and gas leader, specialized in subsea,…",16 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=9c856c4eae2e219f&fccid=1f21273599e9ffba&vjs=3
Jr. Research Analyst,Sannams4,"New Delhi, Delhi","Ability to visualise data and present complex data and findings via infographic and MS Office tools.
OCreate a chart from worksheet data.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b2a7018518c7a065&fccid=6a6418d30b036c4f&vjs=3
Business Analyst / Data Analyst - Analytics,Lenskart,"Faridabad, Haryana","Manipulate, cleanse and interpret data from multiple data sources, required.
The Data Engineering Head role will key to organise the data and help unlock the…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=af514c2faba27b6d&fccid=ffebae55a778ec1a&vjs=3
Business Analyst - Advanced Analytics,Genpact,"Noida, Uttar Pradesh","Experience involving quantitative data analysis to solve problems.
Perform data manipulation, wrangling, cleansing.
Serve as a coach/mentor for junior analysts.",23 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=edfcd9aa3d00b8f0&fccid=afe30394bfba1470&vjs=3
Application Support Analyst & Enrollment Specialist,eMDs,"Ghaziabad, Uttar Pradesh","Analytical and Detail Oriented: Should be analytical and comfortable with tools and applications to analyze data, and reports etc.",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=36b0ca079a2e71ab&fccid=a24cb3bc75d46308&vjs=3
Marketing Analyst,Crypto Mize,"Delhi, Delhi","Must know how to do data warehousing and data mining.
The successful market analyst will be able to analyze qualitative data, trends, strategies, and…",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=09c67c8b32a8e62c&fccid=bdad58a8df3ba8a4&vjs=3
Business Analyst,Entire Software,"Noida, Uttar Pradesh","Business analyst: 3 years (Required).
Demonstratable experience analyzing data to draw business-relevant conclusions.
Salary: From ₹300,000.00 per year.",10 days ago,01/04/2021,https://www.indeed.com/company/Entire-Software/jobs/Business-Analyst-6b9ebd5073600a00?fccid=b99ef814836f83b2&vjs=3
Business Intelligence Analyst,ScoopWhoop,"New Delhi, Delhi","SQL/Query skills including SQL objects development, performance tuning, data analysis and integration.
Develop and manage BI and MIS solutions.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=55d91284c3ba7df5&fccid=6d4bbaf1cd8e20a1&vjs=3
Business Analyst II,Chegg,"Zakhir Nagar, Delhi","Our group is part of the larger data organization at Chegg that focuses on enabling data and insights at scale.
The role: Product Analyst II.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=39b255b8a9b4c888&fccid=a5cbd2514edf7804&vjs=3
Data Analyst – Fresher – Data Scientist – Graduate - Fresher 8077828639 | 7303778896,Structured Learning Assistance Consultants India P...,"Delhi, Delhi","MS Office skills: Excel (Advance, including pivot tables, and macro), Word and PowerPoint (intermediate).
MI report development and assisting with other ad hoc…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=c672267d0db89bb5&fccid=348477e5863ab08a&vjs=3
SQL Power BI,Parity InfoTech Solutions,"Patper Ganj, Delhi","Ability to quickly stage & shape data from data sources into reporting and analytics solutions.
Strong business acumen, able to take business requirements and…",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=a4d9a091db92e28a&fccid=85daaca57df03b7f&vjs=3
IT Compliance Senior Analyst,The Boston Consulting Group,"New Delhi, Delhi","3 years working in Corporate Enterprise IT as SACM/CMDB coordinator or analyst.
Strong analytical skills, data analysis and reporting, ideally knowledge in…",1 day ago,01/04/2021,https://www.indeed.com/rc/clk?jk=29a7029ab38b1f72&fccid=b95f9eb47968fa13&vjs=3
Associate Consultant - Tech Consulting - National - Data & Analytics - New Delhi,EY,"New Delhi, Delhi","Functional expertise of business processes, master data, transactions & configuration knowledge in one or more of the following areas:
You will be expected to:",7 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=70f94740ccf6492c&fccid=1544766d4c2915b0&vjs=3
CSM Operations Analyst,Adobe,"Noida, Uttar Pradesh","Formulates data gathering protocols for recording, evaluating, and reporting data.
Strong data gathering and analytical skills.
What you need to succeed.",15 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=d45c8a61aa526464&fccid=f89deb5a97c7738a&vjs=3
Market Research Analyst,Fervour Infosystem Pvt Ltd,"Noida, Uttar Pradesh","Ability to interpret large amount of data and multi- task.
Recommend actions by analyzing and interpreting data, thus conducting comparative analyses.",23 days ago,01/04/2021,https://www.indeed.com/company/Fervour-Infosystem-Pvt-Ltd/jobs/Market-Research-Analyst-a2130cb7a14a39f3?fccid=099b4832589a6724&vjs=3
Market Research Analyst,Azeus Systems Ltd,"Noida, Uttar Pradesh","Adequate knowledge of data collection methods.
Strong analytical thinker and can translate data into insightful analysis.
Portals/open sources time-to-time.",24 days ago,01/04/2021,https://www.indeed.com/company/Convene-DWC-LLC/jobs/Market-Research-Analyst-388b35c076ee9eba?fccid=51ff414aa52b4549&vjs=3
Business Analyst,Sentieo,"New Delhi, Delhi","You will be expected to understand the problem, form a hypothesis and validate those using data.
Sentieo is a disruptive SaaS platform on a mission to…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=f675d11038a1f689&fccid=edf61cc3a19552f1&vjs=3
Senior Data Analyst,Innovacer,"Noida, Uttar Pradesh","Play with and transform data.
Understand Innovaccer data warehousing concepts and implement best practices.
Data modeling ability - knowledge of different data…",14 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=7d72d62409f2ae34&fccid=361e88ddd59b0e9b&vjs=3
Jr. Research Analyst,Sannams4,"New Delhi, Delhi","Ability to visualise data and present complex data and findings via infographic and MS Office tools.
OCreate a chart from worksheet data.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b2a7018518c7a065&fccid=6a6418d30b036c4f&vjs=3
Data and Analytics - Data Visualization,ANI Calls India Private Limited,"Noida, Uttar Pradesh",Designing and implementing process automation solutions using some of the leading Data Visualization tools and other emerging automation technologies;,17 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=f8a47ea412e292e5&fccid=3799fa8ac2d1edf2&vjs=3
Market Research Analyst,Fervour Infosystem Pvt Ltd,"Noida, Uttar Pradesh","Ability to interpret large amount of data and multi- task.
Recommend actions by analyzing and interpreting data, thus conducting comparative analyses.",23 days ago,01/04/2021,https://www.indeed.com/company/Fervour-Infosystem-Pvt-Ltd/jobs/Market-Research-Analyst-a2130cb7a14a39f3?fccid=099b4832589a6724&vjs=3
Data Analyst,Paytm,"Noida, Uttar Pradesh","Responsible to Analyze raw data, Manipulate, Cleanse and Process data using Hive/Sql/R/Python and throw insights on effectiveness of campaigns running on Paytm…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b1e71f88af41cf67&fccid=4e917d9a3b14765d&vjs=3
"Analyst, People Analytics",The Boston Consulting Group,"New Delhi, Delhi","Must have 2+ years of full time R/Python programing, and hands-on experience through all stages of data science including data mining, data processing, model…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=807a7ea572aa7d20&fccid=b95f9eb47968fa13&vjs=3
Associate Consultant - Tech Consulting - National - Data & Analytics - New Delhi,EY,"New Delhi, Delhi","Functional expertise of business processes, master data, transactions & configuration knowledge in one or more of the following areas:
You will be expected to:",7 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=70f94740ccf6492c&fccid=1544766d4c2915b0&vjs=3
Business Intelligence Analyst,ScoopWhoop,"New Delhi, Delhi","SQL/Query skills including SQL objects development, performance tuning, data analysis and integration.
Develop and manage BI and MIS solutions.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=55d91284c3ba7df5&fccid=6d4bbaf1cd8e20a1&vjs=3
Management Trainee/Analyst,Grail Insights,"Noida, Uttar Pradesh","Conduct quantitative (statistical analysis, financial data analysis, etc.).
Organize, analyze, synthesize and/or summarize data and information using…",20 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=9bc8bdf32a8f4e1a&fccid=6fd4614430f46484&vjs=3
Business Intelligence and Analytics Visualization Analyst,The Boston Consulting Group,"New Delhi, Delhi",Skilled at data exploration; able to quickly transform and synthesize data from multiple sources and identify optimal data structures to support end-state…,29 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=fd639c7f3c063945&fccid=b95f9eb47968fa13&vjs=3
Consultant - Tech Consulting - National - Data & Analytics - New Delhi,Ernst & Young,"New Delhi, Delhi","Functional expertise of business processes, master data, transactions & configuration knowledge in one or more of the following areas:
You will be expected to:",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=22d95e7210727b26&fccid=1544766d4c2915b0&vjs=3
"Sr Business Analyst, JAPAC Licensing and Consumption (India based)",Palo Alto Networks,"New Delhi, Delhi","Must have hands-on experience in business analysis, data analytics, statistical modeling and expert know-how of G Suite, SFDC, etc.
We’re here for better.",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=7f40d4cf55e1e406&fccid=0562f887e2bed9ea&vjs=3
Business Analyst - Sales Incentive,Genpact,"Noida, Uttar Pradesh","Should be able to Handle large data sets, Compute and Calculate Sales Incentives with multiple slice and dice of the Sales data.",2 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=caa7652d1f75a1d0&fccid=afe30394bfba1470&vjs=3
Business Analyst,Morningstar,"New Delhi, Delhi","The ideal candidate will have familiarity with the financial services industry with an emphasis on portfolio construction, calculation, or data dissemination.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=26a022b1ce4a3c27&fccid=eaabf52abd909bd5&vjs=3
Business Analyst / Data Analyst - Analytics,Lenskart,"Faridabad, Haryana","Manipulate, cleanse and interpret data from multiple data sources, required.
The Data Engineering Head role will key to organise the data and help unlock the…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=af514c2faba27b6d&fccid=ffebae55a778ec1a&vjs=3
IT Compliance Senior Analyst,The Boston Consulting Group,"New Delhi, Delhi","3 years working in Corporate Enterprise IT as SACM/CMDB coordinator or analyst.
Strong analytical skills, data analysis and reporting, ideally knowledge in…",1 day ago,01/04/2021,https://www.indeed.com/rc/clk?jk=29a7029ab38b1f72&fccid=b95f9eb47968fa13&vjs=3
Marketing Data Analyst,Snaphunt Pte Ltd,"Delhi, Delhi","You possess strong analytical skills and are comfortable dealing with numerical data.
Using data (existing) and anecdotes along with surrogate intelligence to…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=6ff7983c65ebff0c&fccid=d6545ed47a8e6a25&vjs=3
